"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"X..10357"	"?|10357"	"0.574684970133866"	"0.960448308333549"	"0.626350621853944"	"0.948157217174296"	"0.0467592724707695"	"1"
"X..26823"	"?|26823"	"1"	"1"	"0.194118896965693"	"0.194118896965693"	"5.93917674548751e-31"	"1.07499099093324e-28"
"X..280660"	"?|280660"	"1"	"1"	"0.768204259075971"	"0.768204259075971"	"1.17061439053941e-42"	"2.11881204687633e-40"
"X..390284"	"?|390284"	"0.704819256257052"	"0.405672251931206"	"0.563459819983704"	"0.256546478627741"	"0.00393840995992755"	"0.712852202746886"
"X..645851"	"?|645851"	"0.815053641188283"	"0.468160968407418"	"0.759368987777091"	"0.712771247315426"	"0.0104384587777525"	"1"
"X..728603"	"?|728603"	"1"	"1"	"1"	"1"	"2.84027564965341e-55"	"5.14089892587267e-53"
"X..728788"	"?|728788"	"0.844122323425088"	"0.677512103160586"	"0.844122323425088"	"0.250948572826105"	"1.08541609647028e-07"	"1.96460313461121e-05"
"A1CF.29974"	"A1CF|29974"	"1"	"1"	"0.409577843427751"	"0.409577843427751"	"8.00857474807811e-38"	"1.44955202940214e-35"
"A2LD1.87769"	"A2LD1|87769"	"0.313913227736439"	"0.681871560179322"	"0.704108741645765"	"0.567674862573229"	"0.00229663943381511"	"0.415691737520535"
"AAAS.8086"	"AAAS|8086"	"0.56009616752444"	"0.47105812856"	"0.255978467610619"	"0.998319618584441"	"0.0548431354011071"	"1"
"AAMP.14"	"AAMP|14"	"0.184202295358376"	"0.179032358782087"	"0.165511737666473"	"0.0707719353328925"	"0.0158067526141493"	"1"
"AATF.26574"	"AATF|26574"	"0.235337181813951"	"0.577540390840913"	"0.278406992896092"	"0.364658589712844"	"0.076033422153879"	"1"
"AATK.9625"	"AATK|9625"	"0.994461002131755"	"0.349411355442984"	"0.879364658369399"	"0.37496195064435"	"0.0832497511556568"	"1"
"ABCA11P.79963"	"ABCA11P|79963"	"0.530278538293703"	"0.656922649668194"	"0.96088687091134"	"0.896944725863208"	"0.14388960509834"	"1"
"ABCA4.24"	"ABCA4|24"	"0.690942050133721"	"0.998324127923351"	"0.762682932536232"	"0.719227612188798"	"0.0974365424023116"	"1"
"ABCB10.23456"	"ABCB10|23456"	"0.76470469370407"	"0.705733835500675"	"0.794297527473487"	"0.505537052564514"	"0.0871949919434531"	"1"
"ABCB1.5243"	"ABCB1|5243"	"0.448391703458977"	"0.486809911460668"	"0.539261012918306"	"0.274006820042864"	"0.185038162905205"	"1"
"ABCB5.340273"	"ABCB5|340273"	"0.118431456839732"	"0.189072515038288"	"0.118431456839732"	"0.351272556438897"	"0.0122061819282735"	"1"
"ABCC10.89845"	"ABCC10|89845"	"0.187083986236803"	"0.181688720044685"	"0.258636448751455"	"0.0967675448009941"	"0.0103424318654474"	"1"
"ABCC11.85320"	"ABCC11|85320"	"0.291250965672989"	"0.0928255193031307"	"0.26791612564103"	"0.0600980808616107"	"0.00166650789450603"	"0.301637928905591"
"ABCC1.4363"	"ABCC1|4363"	"0.695102282041512"	"0.26039760004397"	"0.0886580901937196"	"0.233243986432144"	"0.00647466186331301"	"1"
"ABCC5.10057"	"ABCC5|10057"	"0.980507523268458"	"0.859705261348747"	"0.384496094169195"	"0.364459273322529"	"0.0532391588630762"	"1"
"ABCC6P1.653190"	"ABCC6P1|653190"	"0.626409854344768"	"0.674944116159223"	"0.182377833102813"	"0.49876259405251"	"2.73787476305491e-07"	"4.95555332112939e-05"
"ABCD2.225"	"ABCD2|225"	"0.119512575944802"	"0.124047474393273"	"0.211147881467171"	"0.380537820655624"	"0.0703552519361222"	"1"
"ABCD4.5826"	"ABCD4|5826"	"0.518001490921555"	"0.34659860980508"	"0.253530671925555"	"0.244374728521171"	"0.0436275127603472"	"1"
"ABCF1.23"	"ABCF1|23"	"0.278159628193136"	"0.571853081775199"	"0.511198517429291"	"0.986192362583447"	"0.0402129995508667"	"1"
"ABCF3.55324"	"ABCF3|55324"	"0.241265129448591"	"0.772064987464974"	"0.539294883652209"	"0.738545840135083"	"0.0622862959207147"	"1"
"ABHD14A.25864"	"ABHD14A|25864"	"0.889858253094315"	"0.68689601792136"	"0.855921458714047"	"0.849166438861195"	"0.0587025054575841"	"1"
"ABHD15.116236"	"ABHD15|116236"	"0.84369009082128"	"0.476651400421501"	"0.0982938736724283"	"0.957264650673943"	"0.0143422312887573"	"1"
"ABHD4.63874"	"ABHD4|63874"	"0.101015900315081"	"0.0966980628283739"	"0.305986303514288"	"0.271884830220906"	"0.0522363438153775"	"1"
"ABI3BP.25890"	"ABI3BP|25890"	"0.766196695808174"	"0.664789603816432"	"0.149259590416025"	"0.697493369136254"	"0.0319002760023265"	"1"
"ABI3.51225"	"ABI3|51225"	"0.603204844889791"	"0.0190463710679363"	"0.0653499886691497"	"0.12608309763908"	"0.00782435063353216"	"1"
"ABRA.137735"	"ABRA|137735"	"0.667214799670507"	"0.360290277470488"	"0.323598724829736"	"0.805847983713399"	"0.0413922139551006"	"1"
"ACAA2.10449"	"ACAA2|10449"	"0.616243149527783"	"0.412395926682609"	"0.349015379277874"	"0.551839462476469"	"0.0377932286742197"	"1"
"ACACA.31"	"ACACA|31"	"0.0817681589832875"	"0.119676605003517"	"0.161286751522849"	"0.0829323732615997"	"0.0180089512334383"	"1"
"ACADSB.36"	"ACADSB|36"	"0.335920605857859"	"0.880118598495794"	"0.240024269280792"	"0.665204456205712"	"0.0731360334497294"	"1"
"ACAP2.23527"	"ACAP2|23527"	"0.106010429937183"	"0.00518840314132352"	"0.00112876196952665"	"0.00519357247690185"	"0.000542358777210746"	"0.098166938675145"
"ACAT2.39"	"ACAT2|39"	"0.731582020250278"	"0.338688083250316"	"0.556142111439614"	"0.358344478436326"	"0.0153516827864468"	"1"
"ACBD5.91452"	"ACBD5|91452"	"0.954978826379427"	"0.713921269373355"	"0.984762486135745"	"0.728160014532971"	"0.0573072585038641"	"1"
"ACBD7.414149"	"ACBD7|414149"	"0.19055690208889"	"0.311945297963304"	"0.693833189335605"	"0.399057711990728"	"0.0587051541554749"	"1"
"ACCN1.40"	"ACCN1|40"	"0.422008488508939"	"0.801445562244766"	"0.426571854973291"	"0.71959467897749"	"0.0103029551052141"	"1"
"ACCS.84680"	"ACCS|84680"	"0.546136169405094"	"0.211277022638306"	"0.186293409596474"	"0.110657570475224"	"0.00901962940882982"	"1"
"ACER1.125981"	"ACER1|125981"	"0.967892042909717"	"0.371733696100789"	"0.29751623077725"	"0.113934602525626"	"0.00903567078719595"	"1"
"ACER3.55331"	"ACER3|55331"	"0.243640821960062"	"0.810839821147012"	"0.845345507178578"	"0.91511615273"	"0.0748262504415897"	"1"
"ACHE.43"	"ACHE|43"	"0.825528113667343"	"0.91587730369011"	"0.650491237609575"	"0.549340661819373"	"0.123459814281183"	"1"
"ACIN1.22985"	"ACIN1|22985"	"0.846358079962568"	"0.937723186223636"	"0.827464914170909"	"0.979013989129033"	"0.0299418952813051"	"1"
"ACLY.47"	"ACLY|47"	"0.473263965615251"	"0.635767401673124"	"0.482883440577022"	"0.797315669750935"	"0.00813608685078713"	"1"
"ACOT12.134526"	"ACOT12|134526"	"0.219843271926302"	"0.796243043466454"	"0.0526398345955419"	"0.100223318898095"	"1.99389048036666e-06"	"0.000360894176946366"
"ACOT6.641372"	"ACOT6|641372"	"0.608224189803676"	"0.657779867797919"	"0.939691867630247"	"0.501120017855827"	"1.98389215093366e-08"	"3.59084479318993e-06"
"ACOT7.11332"	"ACOT7|11332"	"0.566426144631018"	"0.555573305396479"	"0.357087296990809"	"0.691996546836654"	"0.0303420844276441"	"1"
"ACOX1.51"	"ACOX1|51"	"0.949507466199561"	"0.788779049265133"	"0.968132663859087"	"0.837502686738653"	"0.201466621933472"	"1"
"ACSL6.23305"	"ACSL6|23305"	"0.251064909184044"	"0.316210846110548"	"0.228082052486066"	"0.264390606105097"	"0.0383298206285553"	"1"
"ACSS3.79611"	"ACSS3|79611"	"0.267119460098371"	"0.127180103451354"	"0.23839728919088"	"0.0180179089641777"	"0.00558489035431322"	"1"
"ACTA2.59"	"ACTA2|59"	"0.686116334099072"	"0.17839870023779"	"0.874471800931802"	"0.756184187194934"	"0.0459977963669997"	"1"
"ACTC1.70"	"ACTC1|70"	"0.1345239824461"	"0.0631090466913693"	"0.0630724908254559"	"0.0232494839406946"	"0.000466535101420659"	"0.0844428533571392"
"ACTL7A.10881"	"ACTL7A|10881"	"1"	"1"	"0.0915959197614139"	"0.0915959197614139"	"2.20030441306647e-48"	"3.98255098765031e-46"
"ACTN2.88"	"ACTN2|88"	"0.24801737592519"	"0.754223758453284"	"0.700052502880436"	"0.505922892514981"	"0.0601499368862649"	"1"
"ACTR3.10096"	"ACTR3|10096"	"0.908751951597574"	"0.622478508291476"	"0.869505901991695"	"0.893748983994373"	"0.0335448253012445"	"1"
"ACVR2B.93"	"ACVR2B|93"	"0.178743254596661"	"0.717758874951085"	"0.190914860422522"	"0.968622372564443"	"0.102386219944668"	"1"
"ACVRL1.94"	"ACVRL1|94"	"0.080855425267067"	"0.125712243493513"	"0.0200518390921321"	"0.161457803186412"	"0.00484646726932645"	"0.877210575748087"
"ACY3.91703"	"ACY3|91703"	"0.454449222213529"	"0.796362996030567"	"0.197698680605498"	"0.838566766415505"	"0.0655046908541658"	"1"
"ADAD2.161931"	"ADAD2|161931"	"0.934021405778938"	"0.942890639541142"	"0.820720686842575"	"0.88801688539296"	"0.00635923922467548"	"1"
"ADAM19.8728"	"ADAM19|8728"	"0.074791791021409"	"0.26797912137062"	"0.075236272858712"	"0.126391782967711"	"0.0385225951056234"	"1"
"ADAM20.8748"	"ADAM20|8748"	"0.570792199894032"	"0.492541155428773"	"0.570792199894032"	"0.827110824263607"	"0.0122021828120275"	"1"
"ADAM7.8756"	"ADAM7|8756"	"1"	"1"	"0.0583340723460988"	"0.0583340723460988"	"7.42490726794431e-47"	"1.34390821549792e-44"
"ADAM9.8754"	"ADAM9|8754"	"0.818967901804974"	"0.448042535689697"	"0.0664280955883128"	"0.635094608632398"	"0.0020245323057233"	"0.366440347335917"
"ADAMTS10.81794"	"ADAMTS10|81794"	"0.446519652316416"	"0.661923544089053"	"0.391771525939275"	"0.625147993012013"	"0.0610995663744218"	"1"
"ADAMTS14.140766"	"ADAMTS14|140766"	"0.0503954035353383"	"0.0563333017324398"	"0.224162598619089"	"0.230487718979255"	"0.0297227489409064"	"1"
"ADAMTS17.170691"	"ADAMTS17|170691"	"0.519085118987229"	"0.81457292734107"	"0.302341236242719"	"0.343208528396869"	"0.0857374772738481"	"1"
"ADAMTS18.170692"	"ADAMTS18|170692"	"0.929111133572674"	"0.869437428275426"	"0.720932107617939"	"0.982184162970722"	"0.0492749316235116"	"1"
"ADAMTS20.80070"	"ADAMTS20|80070"	"0.859895592540989"	"0.92175796493655"	"0.668374001654308"	"0.873053141977686"	"0.046960975536914"	"1"
"ADAMTS4.9507"	"ADAMTS4|9507"	"0.970573608679065"	"0.9189036333374"	"0.954062046780191"	"0.724132860886515"	"0.257292939889497"	"1"
"ADAMTS7.11173"	"ADAMTS7|11173"	"0.721657620836662"	"0.721596428957913"	"0.756045643718978"	"0.969185570210808"	"0.111033740192448"	"1"
"ADAMTSL2.9719"	"ADAMTSL2|9719"	"0.474201538510952"	"0.891177509379248"	"0.0811957663715496"	"0.992235388834706"	"0.0515935713741329"	"1"
"ADAMTSL5.339366"	"ADAMTSL5|339366"	"0.476696940079693"	"0.300724939476725"	"0.869772883643852"	"0.505700155932071"	"0.0933500119099229"	"1"
"ADAP2.55803"	"ADAP2|55803"	"0.438109385426631"	"0.486274359402898"	"0.658555264324368"	"0.799114188870672"	"0.0499851294471717"	"1"
