"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"ACCS.84680"	"ACCS|84680"	"0.029863814059609"	"0.350214431826692"	"0.103115007681928"	"0.205369784507421"	"0.0202864684674235"	"1"
"ACER1.125981"	"ACER1|125981"	"1"	"1"	"0.0408282511164128"	"0.394615334637561"	"8.3905391942064e-08"	"1.51868759415136e-05"
"ACER3.55331"	"ACER3|55331"	"0.406068503537731"	"0.493849649258009"	"0.580160998082857"	"0.349139857497882"	"0.00987591945510538"	"1"
"ACHE.43"	"ACHE|43"	"0.162587780295497"	"0.10619035075011"	"0.0903931387829799"	"0.154743902391209"	"0.0211606582630276"	"1"
"ACIN1.22985"	"ACIN1|22985"	"0.829052361836363"	"0.360870813621865"	"0.762934650673227"	"0.295193878964287"	"0.0533269321246231"	"1"
"ACLY.47"	"ACLY|47"	"0.843976891010338"	"0.97305205544821"	"0.469690799782159"	"0.452634408296216"	"0.194538787357446"	"1"
"ACOT12.134526"	"ACOT12|134526"	"1"	"1"	"0.536586733323394"	"0.536586733323394"	"7.42490726794431e-47"	"1.34390821549792e-44"
"ACOT6.641372"	"ACOT6|641372"	"1"	"1"	"0.0947161777604035"	"0.310530992357711"	"1.51297946447582e-18"	"2.73849283070124e-16"
"ACOT7.11332"	"ACOT7|11332"	"0.828407456887599"	"0.656344001532252"	"0.874869884608143"	"0.491991202585658"	"0.0602752934892371"	"1"
"ACOX1.51"	"ACOX1|51"	"0.380474644017469"	"0.584319853434771"	"0.506207157628759"	"0.501495233718809"	"0.0950100022920894"	"1"
"ACSL6.23305"	"ACSL6|23305"	"0.671685243613563"	"0.843547368297918"	"0.671685243613563"	"0.489378620137869"	"0.000316614133165236"	"0.0573071581029077"
"ACSS3.79611"	"ACSS3|79611"	"0.0343077322418144"	"0.00925587379619341"	"0.0935639493554578"	"0.0148547560144925"	"0.00456516370957527"	"0.826294631433124"
"ACTA2.59"	"ACTA2|59"	"0.809921476551863"	"0.0868505924808615"	"0.984119663950961"	"0.15117025644212"	"0.00722430762062016"	"1"
"ACTC1.70"	"ACTC1|70"	"1"	"1"	"0.315732601984781"	"0.157397218167755"	"0.00418800264642643"	"0.758028479003184"
"ACTL7A.10881"	"ACTL7A|10881"	"1"	"1"	"0.0915959197614139"	"0.0915959197614139"	"2.20030441306647e-48"	"3.98255098765031e-46"
