"Mean_Difference"	"cancer"
1.13732768739288	"HN"
1.75394377642815	"HN"
1.63570597057695	"HN"
0.901887988660481	"HN"
0.87606474933055	"HN"
4.50152964068934e-06	"HN"
1.63452476767432	"HN"
1.1753773299669	"HN"
2.95169736550082	"HN"
3.36974554860853	"HN"
7.48521850281423	"HN"
5.40918526893237	"HN"
1.22144853656812	"HN"
5.20869285001176	"HN"
4.2178316449849	"HN"
1.15033984407266	"HN"
1.0527172975505	"HN"
0.983094617191183	"HN"
1.8303688180696	"HN"
1.92013933149741	"HN"
2.29510566846006	"HN"
2.97905489927323	"HN"
1.87477970554018	"HN"
0.866947985896673	"HN"
1.28910233653503	"HN"
5.19210203258472	"HN"
3.28001183833656	"HN"
1.46664790432023	"HN"
6.27275797549186	"HN"
4.44616560578875	"HN"
1.36857552759029	"HN"
5.57999271133339	"HN"
1.21090739033639	"HN"
3.06813394748195	"HN"
1.97077710772975	"HN"
1.72199196298902	"HN"
2.91395735433178	"HN"
3.77191081847663	"HN"
0.702449739319706	"HN"
4.68224998664192	"HN"
1.11603526392772	"HN"
5.10009236881665	"HN"
6.58890805692791	"HN"
1.14362533981311	"HN"
4.84545706561576	"HN"
2.04636002847123	"HN"
0.786176394039536	"HN"
0.73912637297553	"HN"
0.613734952509612	"HN"
1.64883235057468	"HN"
0.771764775370678	"HN"
1.36980743728158	"HN"
0.896425237015063	"HN"
4.85688951255725	"HN"
0.726639501850498	"HN"
1.69651658107002	"HN"
0.848182980566429	"HN"
1.52827189812983	"HN"
3.65245599236208	"HN"
2.96255765023804	"HN"
1.27021186159402	"HN"
2.60664507692241	"HN"
3.08864907012245	"HN"
5.04148207154633	"HN"
1.59376427037176	"HN"
1.9435464284276	"HN"
4.8448986359259	"HN"
5.68793721879362	"HN"
1.5398492464559	"HN"
2.73367782912563	"HN"
1.49745664515897	"HN"
4.90014918400808	"HN"
3.03884220128603	"HN"
0.861858932655006	"HN"
4.22512690540119	"HN"
2.60459250572104	"HN"
2.33673681124321	"HN"
3.592003983495	"HN"
1.53888522456498	"HN"
0.655530229017106	"HN"
0.942241377483221	"HN"
1.20429999865427	"HN"
0.890189265555276	"HN"
5.31340298562146	"HN"
6.91038677312334	"HN"
4.13598942301679	"HN"
2.24531246092203	"HN"
6.0488018186374	"HN"
2.32089301521163	"HN"
1.5522499142632	"HN"
2.42085126293592	"HN"
3.36122461979271	"HN"
3.50502916905235	"HN"
3.74133868908306	"HN"
5.76629400238389	"HN"
2.52606691904473	"HN"
1.38038265564718	"HN"
2.99707771318625	"HN"
0.876520423537591	"HN"
0.870985817702863	"HN"
0.80869827918237	"HN"
1.12763238911368	"HN"
0.692107027092924	"HN"
0.808135162502749	"HN"
1.34191630632868	"HN"
3.68874737963714	"HN"
3.61704784879903	"HN"
4.57717055242566	"HN"
4.44890988142223	"HN"
1.2128827384589	"HN"
1.57685958855832	"HN"
6.74733094811177	"HN"
1.15560778849351	"HN"
0.807966759256479	"HN"
1.6816773642537	"HN"
1.21375584235221	"HN"
0.877002196361674	"HN"
4.79993982302828	"HN"
1.85179968134667	"HN"
1.51198049801081	"HN"
1.60416496680505	"HN"
1.27034883840849	"HN"
1.39931961265201	"HN"
1.4235845873856	"HN"
0.851492265570048	"HN"
1.12449352949581	"HN"
3.48820065584796	"HN"
1.76769277890099	"HN"
0.873253384215961	"HN"
1.18459920666785	"HN"
1.59748767040821	"HN"
2.92541322016733	"HN"
1.97632576823115	"HN"
3.24051418841145	"HN"
3.27911912038822	"HN"
6.96965961781613	"HN"
0.892574714135678	"HN"
0.71173095132001	"HN"
1.19486415891377	"HN"
1.84493081431668	"HN"
1.20059043376471	"HN"
1.91990789283091	"HN"
0.905664357498888	"HN"
3.56853068320094	"HN"
0.807526894962777	"HN"
1.38919870319663	"HN"
0.959199556308071	"HN"
0.823608601132648	"HN"
7.99675193419392	"HN"
1.26041496904171	"HN"
1.79625240309579	"HN"
1.77523855886578	"HN"
1.05383781963175	"HN"
4.55553405318655	"HN"
2.2319855136137	"HN"
1.50570521872586	"HN"
