"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"X..10357"	"?|10357"	"0.940993352431785"	"0.982927615965962"	"0.784453659618695"	"0.991093322297053"	"0.169931145631277"	"1"
"X..26823"	"?|26823"	"1"	"1"	"0.350164498740757"	"0.15503972758973"	"1.50531797920663e-25"	"2.724625542364e-23"
"X..280660"	"?|280660"	"1"	"1"	"0.554187437023051"	"0.554187437023051"	"1.1215769260942e-35"	"2.0300542362305e-33"
"X..390284"	"?|390284"	"0.98543194086753"	"0.356594574476545"	"0.508213709536124"	"0.832519271574081"	"0.00200341287621362"	"0.362617730594664"
"X..645851"	"?|645851"	"0.700354636176167"	"0.486056762240367"	"0.845721736988447"	"0.600830626880489"	"0.00668073959778943"	"1"
"X..728603"	"?|728603"	"1"	"1"	"1"	"1"	"2.84027564965341e-55"	"5.14089892587267e-53"
"X..728788"	"?|728788"	"0.810453030820052"	"0.789490870488718"	"0.84338030637161"	"0.388377315055166"	"1.44793937594829e-05"	"0.0026207702704664"
"A1CF.29974"	"A1CF|29974"	"1"	"1"	"0.9641425405103"	"0.9641425405103"	"1.1215769260942e-35"	"2.0300542362305e-33"
"A2LD1.87769"	"A2LD1|87769"	"0.783689277473321"	"0.75696028243246"	"0.545172624139112"	"0.284856756052206"	"0.00233278447407198"	"0.422233989807028"
"AAAS.8086"	"AAAS|8086"	"0.266836522441413"	"0.550880554440257"	"0.262051471445493"	"0.882268712272373"	"0.0714207327246107"	"1"
"AAMP.14"	"AAMP|14"	"0.170716082558284"	"0.15884839748676"	"0.0376933262503078"	"0.0272700416954156"	"0.0265204549159853"	"1"
"AATF.26574"	"AATF|26574"	"0.304916261577443"	"0.562760403949285"	"0.397893080798577"	"0.242541316447653"	"0.0324942760907993"	"1"
"AATK.9625"	"AATK|9625"	"0.727942918660175"	"0.463714129948506"	"0.818105666004804"	"0.534408337382451"	"0.118255674826973"	"1"
"ABCA11P.79963"	"ABCA11P|79963"	"0.819357048310631"	"0.631409849434079"	"0.939206635261196"	"0.496379702779602"	"0.0605363889580332"	"1"
"ABCA4.24"	"ABCA4|24"	"0.694816981561146"	"0.899725291237581"	"0.762682932536232"	"0.57818972911691"	"0.0412608518175116"	"1"
"ABCB10.23456"	"ABCB10|23456"	"0.881586123555828"	"0.852321291513303"	"0.815236358894926"	"0.53177099323854"	"0.386848445113104"	"1"
"ABCB1.5243"	"ABCB1|5243"	"0.660728672675777"	"0.900754649203981"	"0.483824393685338"	"0.356313142252973"	"0.157118238161398"	"1"
"ABCB5.340273"	"ABCB5|340273"	"0.147347905200685"	"0.150144833201066"	"0.147347905200685"	"0.166756422554233"	"0.0205690543394152"	"1"
"ABCC10.89845"	"ABCC10|89845"	"0.105262107543568"	"0.206852226182406"	"0.154182972892183"	"0.0954791839335709"	"0.0136508557194664"	"1"
"ABCC11.85320"	"ABCC11|85320"	"0.427898925549365"	"0.0785534019240099"	"0.144948288808265"	"0.0544687598912224"	"0.0103466311533701"	"1"
"ABCC1.4363"	"ABCC1|4363"	"0.590779345056337"	"0.210595260261832"	"0.255636454201861"	"0.113755055412153"	"0.00132152013341948"	"0.239195144148925"
"ABCC5.10057"	"ABCC5|10057"	"0.811924497155052"	"0.985138672101239"	"0.56161928601862"	"0.260574751718264"	"0.0103795956883547"	"1"
"ABCC6P1.653190"	"ABCC6P1|653190"	"0.874560626234377"	"0.674184870023702"	"0.488454286100342"	"0.594481701132848"	"3.8455015890001e-06"	"0.000696035787609018"
"ABCD2.225"	"ABCD2|225"	"0.052145806410536"	"0.122100290515178"	"0.955742809961034"	"0.323561482462719"	"0.0202085482911503"	"1"
"ABCD4.5826"	"ABCD4|5826"	"0.253683318548977"	"0.282435613248408"	"0.120983688183353"	"0.21503438073843"	"0.0519980329934833"	"1"
"ABCF1.23"	"ABCF1|23"	"0.41933167188586"	"0.432971167600761"	"0.883694641414796"	"0.609630702707303"	"0.0124664261206193"	"1"
"ABCF3.55324"	"ABCF3|55324"	"0.478112204720971"	"0.804394325269173"	"0.838528106528976"	"0.563272501905604"	"0.0797482865100519"	"1"
"ABHD14A.25864"	"ABHD14A|25864"	"0.776716632942854"	"0.68755743789209"	"0.6620887457719"	"0.665558316687314"	"0.0151556599256891"	"1"
"ABHD15.116236"	"ABHD15|116236"	"0.800758760164836"	"0.436128044865803"	"0.0235470456338515"	"0.934050874741912"	"0.0133821098366644"	"1"
"ABHD4.63874"	"ABHD4|63874"	"0.0432179902824369"	"0.0790770972764349"	"0.304491282005708"	"0.182637202400145"	"0.0432179902824356"	"1"
"ABI3BP.25890"	"ABI3BP|25890"	"0.845676796600424"	"0.515007440570288"	"0.284153159288445"	"0.808810535083449"	"0.063336095558224"	"1"
"ABI3.51225"	"ABI3|51225"	"0.492680600837119"	"0.0865858353570238"	"0.043682604196414"	"0.0468187824772969"	"0.00462818344903676"	"0.837701204275653"
"ABRA.137735"	"ABRA|137735"	"0.550518267236076"	"0.383418274691431"	"0.254104042465883"	"0.877623728075682"	"0.0373693417812384"	"1"
"ACAA2.10449"	"ACAA2|10449"	"0.851188449783556"	"0.42883871008511"	"0.923352513913652"	"0.773023298867988"	"0.077245286766064"	"1"
"ACACA.31"	"ACACA|31"	"0.117417180105531"	"0.093701387461731"	"0.0905566285458688"	"0.0733654412493361"	"0.0132124271738076"	"1"
"ACADSB.36"	"ACADSB|36"	"0.271683224964457"	"0.597314137403367"	"0.298084139902263"	"0.683223297193834"	"0.0695938086204627"	"1"
"ACAP2.23527"	"ACAP2|23527"	"0.0515048329258671"	"0.0039136175472213"	"0.00112459338449496"	"0.00815176472773851"	"0.00084931593815967"	"0.1537261848069"
"ACAT2.39"	"ACAT2|39"	"0.511271511018125"	"0.250412737394774"	"0.764366321447449"	"0.392042788171605"	"0.00358005262468574"	"0.647989525068119"
"ACBD5.91452"	"ACBD5|91452"	"0.565741894547013"	"0.700476030677932"	"0.882242160591265"	"0.659259089137587"	"0.113484902167034"	"1"
"ACBD7.414149"	"ACBD7|414149"	"0.182111948909797"	"0.469652785169421"	"0.63221962878931"	"0.693075058361647"	"0.0911058984611405"	"1"
"ACCN1.40"	"ACCN1|40"	"0.941171297360141"	"0.87058362450624"	"0.539436154150353"	"0.657558645760215"	"0.00949616432274875"	"1"
"ACCS.84680"	"ACCS|84680"	"0.75304023691633"	"0.275863737776027"	"0.195469878460115"	"0.0925374461998196"	"0.00437790243231126"	"0.792400340248337"
