"Km.Scan.P.Value"	"Km.Scan.Adj.P.Value"	"Qcut50.P.Value"	"Qcut2575.P.Value"	"Zcut1.P.Value"
"CDH12"	"0.01252827852991"	"1"	"0.152465298932355"	"0.0290544857380019"	"0.00988594888740439"
"FAM5C"	"0.00346370357837667"	"0.280559989848511"	"0.0740770100921062"	"0.205848810959035"	"1"
"MBL2"	"0.00991378541191895"	"0.803016618365435"	"0.029196373227398"	"0.0573698117643451"	"1"
"MAGEA2.....MAGEA2B"	"0.00369799082239153"	"0.299537256613714"	"0.0592394699772178"	"0.0448113272960361"	"1"
"CPS1"	"0.0928195576960651"	"1"	"0.967112001935591"	"0.797832507052878"	"1"
"RNF128"	"0.067243331544556"	"1"	"0.699305297178967"	"0.764150460092233"	"1"
"AMBP"	"0.0169448330692541"	"1"	"0.0513029301327075"	"0.0579150848113824"	"1"
"MAGEA12"	"0.000733128587112177"	"0.0593834155560863"	"0.0452362930909277"	"0.0120027020854822"	"1"
"MAGEA11"	"2.80048685912367e-05"	"0.00226839435589017"	"0.159364230352102"	"0.0998733843478614"	"1"
"MS4A1"	"0.0528010463128603"	"1"	"0.86211413889627"	"0.481211442638849"	"0.137373543246171"
"RGS13"	"0.176467108849461"	"1"	"0.680834528721255"	"0.595084218885668"	"1"
"ABCA8"	"0.0200978016388987"	"1"	"0.123207161890018"	"0.109016409765669"	"0.0695690441456443"
"CCNYL2"	"2.1925657351394e-05"	"0.00177597824546291"	"0.058075409399953"	"0.00942272026594599"	"0.0520936817413346"
"ADH1A"	"0.0409436546186209"	"1"	"0.230634429569023"	"0.918973992566359"	"1"
"SULT2A1"	"0.0249229408474608"	"1"	"0.338301125193016"	"0.663170552499499"	"1"
"PCDH8"	"0.0299636413639885"	"1"	"0.0655131422722773"	"0.82536590886475"	"1"
"MAL2"	"0.0488620985661894"	"1"	"0.836971791284075"	"0.185302781207846"	"1"
"LECT2"	"0.0485559051599188"	"1"	"0.90447768771585"	"0.801000848044718"	"1"
"HLA.DQA1"	"0.0504687524915139"	"1"	"0.982204590423906"	"0.705507931688555"	"0.203181523402788"
"CALB1"	"0.000196508415070168"	"0.0159171816206836"	"0.000384840426955132"	"0.000239333571191216"	"0.00139741857113391"
"LGSN"	"0.000256533738062581"	"0.020779232783069"	"0.121486371390941"	"0.0358207046398651"	"1"
"AQP4"	"1.00327885787393e-10"	"8.12655874877883e-09"	"0.00014000199109892"	"1.91785985407382e-07"	"1"
"RALYL"	"0.0115153512214731"	"0.932743448939323"	"0.147742715837838"	"0.260222368148148"	"1"
"HSD17B6"	"0.0928195576960651"	"1"	"0.438508466234744"	"0.485573090361829"	"1"
"ST6GAL2"	"4.61174423979756e-08"	"3.73551283423602e-06"	"0.543339792939895"	"0.347254324291941"	"1"
"CDH19"	"1.77358556011875e-06"	"0.000143660430369619"	"0.00267232469512494"	"0.0220650871899829"	"0.320975318785885"
"DIO1"	"0.00473010381819686"	"0.383138409273946"	"0.115264498700025"	"0.113538268729558"	"1"
"TWIST1"	"1.46086570520327e-07"	"1.18330122121465e-05"	"0.000466120581708289"	"0.0027216993037446"	"0.0121328454862535"
"HAO1"	"0.0580085217986032"	"1"	"0.633558072448753"	"0.786577864303808"	"1"
"AADAC"	"0.0128757121112648"	"1"	"0.525972988813262"	"0.659799867272478"	"1"
"NPY2R"	"0.0107161448802313"	"0.868007735298736"	"0.741845666956225"	"0.596448552523231"	"0.953438075260151"
"TM4SF4"	"0.0313591835771386"	"1"	"0.859054559226303"	"0.477869420319385"	"1"
"PON1"	"0.00376899713015191"	"0.305288767542305"	"0.108373826566417"	"0.127210454033523"	"1"
"MGST1"	"0.0345928262326035"	"1"	"0.32878362111767"	"0.175112384888561"	"0.566957837969033"
"MUC15"	"0.00180046847463065"	"0.145837946445082"	"0.74646899193268"	"0.33374492086635"	"1"
"FSTL5"	"0.00012303916896545"	"0.00996617268620149"	"0.048125286884357"	"0.00145264357431151"	"0.0022096972026577"
"SPP2"	"0.0456613601074606"	"1"	"0.45024061567798"	"0.41820273080416"	"1"
"CXorf57"	"0.0292744892955177"	"1"	"0.535621340135737"	"0.514658321183218"	"0.565562104194087"
