"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"X..10357"	"?|10357"	"0.929229088704975"	"0.714677714062251"	"0.880996500393413"	"0.473698518823587"	"0.0980750428280882"	"1"
"X..26823"	"?|26823"	"1"	"1"	"0.590257122342229"	"0.590257122342229"	"1.15850255665035e-34"	"2.09688962753714e-32"
"X..280660"	"?|280660"	"1"	"1"	"0.89863753246111"	"0.89863753246111"	"2.01213822557642e-53"	"3.64197018829332e-51"
"X..390284"	"?|390284"	"0.36800297729651"	"0.809154064284221"	"0.637327353288856"	"0.890335090196963"	"0.000251752112480773"	"0.0455671323590199"
"X..645851"	"?|645851"	"0.409513016136419"	"0.667479938567708"	"0.747403261120609"	"0.160549998584486"	"0.0302135080974127"	"1"
"X..728603"	"?|728603"	"1"	"1"	"1"	"1"	"2.84027564965341e-55"	"5.14089892587267e-53"
"X..728788"	"?|728788"	"1"	"1"	"0.598547763811907"	"0.598547763811907"	"5.68667496197111e-27"	"1.02928816811677e-24"
"A1CF.29974"	"A1CF|29974"	"1"	"1"	"0.425118729216673"	"0.425118729216673"	"2.24933685375979e-41"	"4.07129970530522e-39"
"A2LD1.87769"	"A2LD1|87769"	"0.339589811112725"	"0.389068320850335"	"0.775873772321539"	"0.619509246719114"	"0.00244406616501656"	"0.442375975867997"
"AAAS.8086"	"AAAS|8086"	"0.303927288918528"	"0.352699657452923"	"0.303927288918528"	"0.593231413942365"	"0.00643183462198346"	"1"
"AAMP.14"	"AAMP|14"	"0.606760326039967"	"0.457360853841593"	"0.860292174482969"	"0.483334809595543"	"0.171146743996409"	"1"
"AATF.26574"	"AATF|26574"	"0.452976439727204"	"0.790381289835751"	"0.461530185645693"	"0.989175849959454"	"0.235510058125039"	"1"
"AATK.9625"	"AATK|9625"	"0.911224464947311"	"0.485419198639946"	"0.630662969950552"	"0.584248832535956"	"0.0329679834131069"	"1"
"ABCA11P.79963"	"ABCA11P|79963"	"0.267421939805308"	"0.743401899497909"	"0.640272669935081"	"0.990167374584247"	"0.0600795012923513"	"1"
"ABCA4.24"	"ABCA4|24"	"0.917778224013161"	"0.766961853894483"	"0.763667007905927"	"0.710414537739139"	"0.0378689947210907"	"1"
