"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"X..10357"	"?|10357"	"0.671790223504544"	"0.971441404345192"	"0.759143588411661"	"0.900487820464666"	"0.0855982231480795"	"1"
"X..26823"	"?|26823"	"1"	"1"	"0.230775549722431"	"0.384124738587709"	"5.68667496197111e-27"	"1.02928816811677e-24"
"X..280660"	"?|280660"	"1"	"1"	"0.191055454661455"	"0.191055454661455"	"9.93426828189436e-37"	"1.79810255902288e-34"
"X..390284"	"?|390284"	"0.915843831556937"	"0.320471527830657"	"0.230760395298923"	"0.21020205364622"	"0.000390010135254164"	"0.0705918344810037"
"X..645851"	"?|645851"	"0.753599418443751"	"0.444181929747071"	"0.554125147667505"	"0.674915880723708"	"0.00668073959778943"	"1"
"X..728603"	"?|728603"	"1"	"1"	"1"	"1"	"2.84027564965341e-55"	"5.14089892587267e-53"
"X..728788"	"?|728788"	"0.342746710640593"	"0.946622986821824"	"0.544027953678449"	"0.626669309166201"	"2.78502345252688e-06"	"0.000504089244907365"
"A1CF.29974"	"A1CF|29974"	"1"	"1"	"0.702811538105932"	"0.702811538105932"	"8.00857474807811e-38"	"1.44955202940214e-35"
"A2LD1.87769"	"A2LD1|87769"	"0.545589440679049"	"0.720224703695551"	"0.477657352984856"	"0.390830188186602"	"0.00326611092455534"	"0.591166077344516"
"AAAS.8086"	"AAAS|8086"	"0.421893964410991"	"0.511371991875997"	"0.112495534638331"	"0.99417037543405"	"0.0605600645785016"	"1"
"AAMP.14"	"AAMP|14"	"0.0524414971295654"	"0.167257425997756"	"0.0760394543888021"	"0.0774196503194065"	"0.0266271964115223"	"1"
"AATF.26574"	"AATF|26574"	"0.306730938606112"	"0.569481396680062"	"0.241792949331739"	"0.385736297013912"	"0.0324942760907993"	"1"
"AATK.9625"	"AATK|9625"	"0.190843671542742"	"0.447297998798234"	"0.818105666004804"	"0.483681961762794"	"0.0979656304397226"	"1"
"ABCA11P.79963"	"ABCA11P|79963"	"0.747693048435474"	"0.658549490099321"	"0.947926974370167"	"0.843208577759454"	"0.117531513323487"	"1"
"ABCA4.24"	"ABCA4|24"	"0.634490009531162"	"0.934251650583904"	"0.659762319076234"	"0.57818972911691"	"0.0412608518175116"	"1"
"ABCB10.23456"	"ABCB10|23456"	"0.771429213272011"	"0.783000909364023"	"0.723368695695829"	"0.486207030238219"	"0.149020053060766"	"1"
"ABCB1.5243"	"ABCB1|5243"	"0.512701127455653"	"0.657096067577802"	"0.401737550709074"	"0.292199586658522"	"0.218294475205367"	"1"
"ABCB5.340273"	"ABCB5|340273"	"0.322289609447977"	"0.159823409038485"	"0.322289609447977"	"0.0703717002939387"	"0.0159127638754849"	"1"
"ABCC10.89845"	"ABCC10|89845"	"0.174977372909989"	"0.192611957614686"	"0.258636448751455"	"0.175936345093674"	"0.0103424318654474"	"1"
"ABCC11.85320"	"ABCC11|85320"	"0.174522885112482"	"0.0760849190199672"	"0.274027765455629"	"0.0245498087873667"	"0.00306167590217648"	"0.554163338293943"
"ABCC1.4363"	"ABCC1|4363"	"0.45910356855026"	"0.170363743255227"	"0.151431985400683"	"0.112765054023095"	"0.00132152013341948"	"0.239195144148925"
"ABCC5.10057"	"ABCC5|10057"	"0.801849552036699"	"0.900647998382607"	"0.576741307283377"	"0.169241786328911"	"0.0277320254494421"	"1"
"ABCC6P1.653190"	"ABCC6P1|653190"	"0.70248177800481"	"0.620511096247787"	"0.204998716328319"	"0.85339371937584"	"2.59650094542949e-06"	"0.000469966671122737"
"ABCD2.225"	"ABCD2|225"	"0.119512575944802"	"0.0906213599858585"	"0.556769582240448"	"0.52844099357185"	"0.0418726626979204"	"1"
"ABCD4.5826"	"ABCD4|5826"	"0.612892954212378"	"0.311062205318494"	"0.199131969892158"	"0.220682385673844"	"0.0567085434832797"	"1"
"ABCF1.23"	"ABCF1|23"	"0.504056051969168"	"0.495111261885459"	"0.672998374934055"	"0.84352808568545"	"0.0186701263018136"	"1"
"ABCF3.55324"	"ABCF3|55324"	"0.241265129448591"	"0.7881168783212"	"0.70470094942594"	"0.729924760113332"	"0.0868854034907826"	"1"
"ABHD14A.25864"	"ABHD14A|25864"	"0.978423780685156"	"0.715612500720366"	"0.855921458714047"	"0.614251099801915"	"0.00920916644258542"	"1"
"ABHD15.116236"	"ABHD15|116236"	"0.962187048760639"	"0.45416775025312"	"0.0290600849628734"	"0.988812775159184"	"0.0144053028874552"	"1"
"ABHD4.63874"	"ABHD4|63874"	"0.060995515705604"	"0.0857439659709354"	"0.480145939701678"	"0.172065463029576"	"0.0586325814214983"	"1"
"ABI3BP.25890"	"ABI3BP|25890"	"0.818609448142347"	"0.826136948239124"	"0.202912347587432"	"0.982193181326131"	"0.0405601684738524"	"1"
"ABI3.51225"	"ABI3|51225"	"0.479020321539518"	"0.0305261019762302"	"0.0318390373423808"	"0.118220070020978"	"0.00667092461169916"	"1"
"ABRA.137735"	"ABRA|137735"	"0.980942450293156"	"0.399981684548297"	"0.323598724829736"	"0.805847983713399"	"0.0373693417812384"	"1"
"ACAA2.10449"	"ACAA2|10449"	"0.410618424329013"	"0.415970366060665"	"0.906528193427536"	"0.741196373997085"	"0.0543503926593841"	"1"
"ACACA.31"	"ACACA|31"	"0.0985667984312085"	"0.104475485360006"	"0.0905566285458688"	"0.0759042814410089"	"0.0167409735914747"	"1"
"ACADSB.36"	"ACADSB|36"	"0.271683224964457"	"0.851398183840585"	"0.174281426921894"	"0.650844433209018"	"0.084927639144491"	"1"
"ACAP2.23527"	"ACAP2|23527"	"0.0515048329258671"	"0.00393206849182415"	"0.00353152535533219"	"0.00580857049219184"	"0.000462428517370858"	"0.0836995616441253"
"ACAT2.39"	"ACAT2|39"	"0.26377692179895"	"0.290971198387507"	"0.561768631955664"	"0.385647899940009"	"0.00358005262468574"	"0.647989525068119"
"ACBD5.91452"	"ACBD5|91452"	"0.758461259812726"	"0.706992803446683"	"0.978979553937127"	"0.805024047530003"	"0.0595256390066887"	"1"
"ACBD7.414149"	"ACBD7|414149"	"0.38180682697513"	"0.431606833468595"	"0.693833189335605"	"0.53706372610633"	"0.0587051541554749"	"1"
"ACCN1.40"	"ACCN1|40"	"0.910708486449538"	"0.917175796382681"	"0.539436154150353"	"0.572505284702783"	"0.0103029551052141"	"1"
"ACCS.84680"	"ACCS|84680"	"0.75304023691633"	"0.243779499358304"	"0.195469878460115"	"0.168816797838369"	"0.00763852224574391"	"1"
"ACER1.125981"	"ACER1|125981"	"0.835223282067306"	"0.328983131733076"	"0.646700634504714"	"0.213925220782918"	"0.00204552964772388"	"0.370240866238022"
"ACER3.55331"	"ACER3|55331"	"0.265432197790241"	"0.921908100137318"	"0.845345507178578"	"0.675270317589928"	"0.0516917590695429"	"1"
"ACHE.43"	"ACHE|43"	"0.829465696476954"	"0.951220623612623"	"0.718776563169693"	"0.564386410619563"	"0.164919146020488"	"1"
"ACIN1.22985"	"ACIN1|22985"	"0.631328580967531"	"0.856276885639114"	"0.532060229781981"	"0.83452351743079"	"0.0627147717023917"	"1"
"ACLY.47"	"ACLY|47"	"0.336649301057616"	"0.616549910453152"	"0.490491439670407"	"0.970491930048904"	"0.0101797093876765"	"1"
"ACOT12.134526"	"ACOT12|134526"	"0.276518927032959"	"0.751803162799519"	"0.0166177244391172"	"0.0812663673849071"	"8.64415282202949e-07"	"0.000156459166078734"
"ACOT6.641372"	"ACOT6|641372"	"0.251431636081814"	"0.926045851198273"	"0.845149428941551"	"0.777877050636532"	"1.13761366038857e-06"	"0.000205908072530332"
"ACOT7.11332"	"ACOT7|11332"	"0.816403876317271"	"0.655997780724712"	"0.529114729759878"	"0.732935249064678"	"0.0411863474269825"	"1"
"ACOX1.51"	"ACOX1|51"	"0.613872970552347"	"0.810575202594715"	"0.742355976776363"	"0.969068562504684"	"0.181579397584919"	"1"
