"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"X..10357"	"?|10357"	"0.991121309138806"	"0.981186105114652"	"0.687253584953865"	"0.602151323900425"	"0.169931145631277"	"1"
"X..26823"	"?|26823"	"1"	"1"	"0.194264233519432"	"0.289401518687147"	"3.28423648242609e-24"	"5.94446803319122e-22"
"X..280660"	"?|280660"	"1"	"1"	"0.727106636914966"	"0.727106636914966"	"2.78576542900923e-29"	"5.04223542650671e-27"
"X..390284"	"?|390284"	"0.624873761176131"	"0.363581555771546"	"0.225152921625391"	"0.198600450208992"	"0.00149970474674875"	"0.271446559161524"
"X..645851"	"?|645851"	"0.663557404474642"	"0.517870691243248"	"0.696763791943807"	"0.59679002564053"	"0.025266004909547"	"1"
"X..728603"	"?|728603"	"1"	"1"	"1"	"1"	"2.84027564965341e-55"	"5.14089892587267e-53"
"X..728788"	"?|728788"	"0.886906229412839"	"0.962161034911951"	"0.886906229412839"	"0.428693143637422"	"0.000110497137533553"	"0.0199999818935731"
"A1CF.29974"	"A1CF|29974"	"1"	"1"	"0.392202660162438"	"0.392202660162438"	"2.78576542900923e-29"	"5.04223542650671e-27"
"A2LD1.87769"	"A2LD1|87769"	"0.666918353963076"	"0.797467925310808"	"0.312301396642041"	"0.277402074382816"	"0.00271885364645403"	"0.49211251000818"
"AAAS.8086"	"AAAS|8086"	"0.164925577049092"	"0.591007949640217"	"0.362046786885046"	"0.898328554267198"	"0.0970530220558714"	"1"
"AAMP.14"	"AAMP|14"	"0.0846286130107817"	"0.152450327785012"	"0.0343438028631476"	"0.0476494048495333"	"0.0137881366426453"	"1"
"AATF.26574"	"AATF|26574"	"0.318995453085186"	"0.560085767297915"	"0.810809596980577"	"0.160816525722138"	"0.106646147607945"	"1"
"AATK.9625"	"AATK|9625"	"0.617225294698432"	"0.625388173732667"	"0.783830042384406"	"0.677482102298073"	"0.179278851256635"	"1"
"ABCA11P.79963"	"ABCA11P|79963"	"0.897928858526281"	"0.626688372448409"	"0.816448126269997"	"0.469543901451805"	"0.0849934284557097"	"1"
"ABCA4.24"	"ABCA4|24"	"0.544915321773639"	"0.935958090360602"	"0.444568945197457"	"0.455461839537979"	"0.0667991048168417"	"1"
"ABCB10.23456"	"ABCB10|23456"	"0.945073272960828"	"0.918698960246223"	"0.492745337460991"	"0.496645994984075"	"0.304245373285694"	"1"
"ABCB1.5243"	"ABCB1|5243"	"0.43654661406042"	"0.895891403403258"	"0.391798490610243"	"0.33763257808285"	"0.073226187227915"	"1"
"ABCB5.340273"	"ABCB5|340273"	"0.0569833253186657"	"0.0918601759127006"	"0.218546367330009"	"0.0639662749950839"	"0.0259564898486171"	"1"
"ABCC10.89845"	"ABCC10|89845"	"0.0694400708869341"	"0.222594375775581"	"0.117264760729903"	"0.0942788153374989"	"0.013569067647522"	"1"
"ABCC11.85320"	"ABCC11|85320"	"0.40422199016615"	"0.0950987585576074"	"0.134431708823505"	"0.0455313728848973"	"0.00529813677199098"	"0.958962755730367"
"ABCC1.4363"	"ABCC1|4363"	"0.590779345056337"	"0.295274972718716"	"0.384688357248858"	"0.111555865016114"	"0.0019952469222042"	"0.361139692918959"
"ABCC5.10057"	"ABCC5|10057"	"0.986664622354284"	"0.850577226864973"	"0.56161928601862"	"0.270016055445173"	"0.0250715549339157"	"1"
"ABCC6P1.653190"	"ABCC6P1|653190"	"0.693801286843629"	"0.66942146876998"	"0.705354065238938"	"0.814059604669004"	"1.34066451139525e-06"	"0.000242660276562539"
"ABCD2.225"	"ABCD2|225"	"0.0889593344708835"	"0.181790541516422"	"0.740030456816615"	"0.373263823321612"	"0.0335185706871556"	"1"
"ABCD4.5826"	"ABCD4|5826"	"0.200747372849057"	"0.260127340794756"	"0.116216861388405"	"0.178928820344027"	"0.0332159150336968"	"1"
"ABCF1.23"	"ABCF1|23"	"0.504056051969168"	"0.38274802405454"	"0.53434094269419"	"0.871251713555997"	"0.0124664261206193"	"1"
"ABCF3.55324"	"ABCF3|55324"	"0.337593835835662"	"0.819766615745408"	"0.433605752698789"	"0.563272501905604"	"0.0603065386646594"	"1"
"ABHD14A.25864"	"ABHD14A|25864"	"0.678730136131305"	"0.665399044504265"	"0.890008654175881"	"0.444850745707656"	"0.0151556599256891"	"1"
"ABHD15.116236"	"ABHD15|116236"	"0.852020476652338"	"0.418261962280969"	"0.0102945624760057"	"0.877375141928687"	"0.0102945624760057"	"1"
"ABHD4.63874"	"ABHD4|63874"	"0.060995515705604"	"0.0747956532345482"	"0.224352868203795"	"0.126734114994985"	"0.0432179902824356"	"1"
"ABI3BP.25890"	"ABI3BP|25890"	"0.735248017036623"	"0.405766949191835"	"0.460283251516992"	"0.763066125296702"	"0.0736590603803023"	"1"
"ABI3.51225"	"ABI3|51225"	"0.619787081668534"	"0.0301646784971159"	"0.0710146652860582"	"0.031709413324436"	"0.0028607096670827"	"0.517788449741968"
"ABRA.137735"	"ABRA|137735"	"0.550518267236076"	"0.469259592448659"	"0.254104042465883"	"0.877623728075682"	"0.0373693417812384"	"1"
"ACAA2.10449"	"ACAA2|10449"	"0.96460806779852"	"0.402701965060823"	"0.86879608599122"	"0.716865027736269"	"0.077245286766064"	"1"
"ACACA.31"	"ACACA|31"	"0.06496154771053"	"0.0854981424620266"	"0.0791890129998648"	"0.0440020889607682"	"0.0131431676523617"	"1"
"ACADSB.36"	"ACADSB|36"	"0.144238338783295"	"0.597250417724645"	"0.255196846182391"	"0.470541531869018"	"0.0945376980204757"	"1"
"ACAP2.23527"	"ACAP2|23527"	"0.12586515133437"	"0.005498811662077"	"0.0009496845153605"	"0.0154965721113398"	"0.000321958336507163"	"0.0582744589077965"
"ACAT2.39"	"ACAT2|39"	"0.589749370784555"	"0.289209776750694"	"0.764366321447449"	"0.49773599149277"	"0.0115344198991478"	"1"
"ACBD5.91452"	"ACBD5|91452"	"0.457403623217657"	"0.69394888994005"	"0.97660582493767"	"0.482360837380306"	"0.123669334443461"	"1"
"ACBD7.414149"	"ACBD7|414149"	"0.448935746710095"	"0.49888918645925"	"0.63221962878931"	"0.579362538406872"	"0.122052873044186"	"1"
"ACCN1.40"	"ACCN1|40"	"0.831255257597369"	"0.703839432553634"	"0.4955155331463"	"0.636547648313069"	"0.010691794696098"	"1"
"ACCS.84680"	"ACCS|84680"	"0.759163385597564"	"0.204829761490387"	"0.199902471717059"	"0.0692078274655712"	"0.00849161441367485"	"1"
"ACER1.125981"	"ACER1|125981"	"0.738540827343399"	"0.224144573892764"	"0.950877759576735"	"0.122263067738421"	"0.00204552964772388"	"0.370240866238022"
"ACER3.55331"	"ACER3|55331"	"0.368709638771493"	"0.877084584492657"	"0.54019850981923"	"0.664433335185686"	"0.0461180123573107"	"1"
"ACHE.43"	"ACHE|43"	"0.386754899435725"	"0.840015713689945"	"0.718776563169693"	"0.919787287486187"	"0.252242875207493"	"1"
"ACIN1.22985"	"ACIN1|22985"	"0.526421349400679"	"0.721646323346346"	"0.611855014695924"	"0.247314853355556"	"0.0379404390018874"	"1"
"ACLY.47"	"ACLY|47"	"0.266148848413705"	"0.59135350012278"	"0.691848336573446"	"0.814024358125615"	"0.0407008417659658"	"1"
"ACOT12.134526"	"ACOT12|134526"	"0.757393649664399"	"0.677181773925422"	"0.105825537211258"	"0.235148884590821"	"9.63947438301954e-05"	"0.0174474486332654"
"ACOT6.641372"	"ACOT6|641372"	"0.917150769929617"	"0.364739185964918"	"0.788034265637046"	"0.489570371774909"	"1.26319040721227e-06"	"0.000228637463705421"
"ACOT7.11332"	"ACOT7|11332"	"0.737597281911367"	"0.816974085526475"	"0.357087296990809"	"0.62510721902029"	"0.0973088234973694"	"1"
