"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"X..10357"	"?|10357"	"0.67000921845405"	"0.747766241977934"	"0.962658972642322"	"0.397517380106507"	"0.148440834807499"	"1"
"X..26823"	"?|26823"	"1"	"1"	"0.590257122342229"	"0.590257122342229"	"1.15850255665035e-34"	"2.09688962753714e-32"
"X..280660"	"?|280660"	"1"	"1"	"0.89863753246111"	"0.89863753246111"	"2.01213822557642e-53"	"3.64197018829332e-51"
"X..390284"	"?|390284"	"0.374287704764277"	"0.767290745461138"	"0.396712421783413"	"0.438312803459014"	"0.000976775027244333"	"0.176796279931224"
"X..645851"	"?|645851"	"0.392864690748029"	"0.575114516025316"	"0.987450759343447"	"0.17977257344703"	"0.0479253327234704"	"1"
"X..728603"	"?|728603"	"1"	"1"	"1"	"1"	"2.84027564965341e-55"	"5.14089892587267e-53"
"X..728788"	"?|728788"	"1"	"1"	"0.692713754119393"	"0.278786784941717"	"3.00075040947344e-26"	"5.43135824114692e-24"
"A1CF.29974"	"A1CF|29974"	"1"	"1"	"0.425118729216673"	"0.425118729216673"	"2.24933685375979e-41"	"4.07129970530522e-39"
"A2LD1.87769"	"A2LD1|87769"	"0.441931884262154"	"0.402278620243643"	"0.682217384421923"	"0.679246199013833"	"0.00423867069066812"	"0.76719939501093"
"AAAS.8086"	"AAAS|8086"	"0.243297902592007"	"0.345601265688618"	"0.303927288918528"	"0.538776423786692"	"0.00643183462198346"	"1"
"AAMP.14"	"AAMP|14"	"0.313283321072287"	"0.415461256061542"	"0.623364197099585"	"0.727408458205014"	"0.130746008782383"	"1"
"AATF.26574"	"AATF|26574"	"0.343729744725791"	"0.758360091120559"	"0.287851296188943"	"0.833148741664971"	"0.15102188191952"	"1"
"AATK.9625"	"AATK|9625"	"0.690060188861271"	"0.495818914900337"	"0.591349461729217"	"0.526505795138092"	"0.0617196860861054"	"1"
"ABCA11P.79963"	"ABCA11P|79963"	"0.282006097807079"	"0.735638587992677"	"0.440161153209226"	"0.654459757548604"	"0.14551710760892"	"1"
"ABCA4.24"	"ABCA4|24"	"0.485568925206929"	"0.536152649727887"	"0.96160557504852"	"0.742306576364381"	"0.111728085589373"	"1"
"ABCB10.23456"	"ABCB10|23456"	"0.708267275708982"	"0.262391921971599"	"0.910714438523417"	"0.34492016400613"	"0.0830495385834974"	"1"
"ABCB1.5243"	"ABCB1|5243"	"0.0236712959678608"	"0.112579880615762"	"0.164491045774911"	"0.0245390886489116"	"0.010940876106402"	"1"
"ABCB5.340273"	"ABCB5|340273"	"0.379104802931871"	"0.411217030281355"	"0.607509916856822"	"0.611512106017025"	"2.1440068656113e-05"	"0.00388065242675645"
"ABCC10.89845"	"ABCC10|89845"	"0.522916263547072"	"0.177924881077503"	"0.42275265527531"	"0.236122948718924"	"0.0106855932565605"	"1"
"ABCC11.85320"	"ABCC11|85320"	"0.325261729216902"	"0.0290942886294195"	"0.16097698967075"	"0.0614041879755753"	"5.60713988044336e-05"	"0.0101489231836025"
"ABCC1.4363"	"ABCC1|4363"	"0.548092287866991"	"0.401231777838376"	"0.889720535433486"	"0.852312117497135"	"0.0323602282005364"	"1"
"ABCC5.10057"	"ABCC5|10057"	"0.566112701996254"	"0.827264012827097"	"0.970592147192251"	"0.839218802750459"	"0.0167937617793088"	"1"
"ABCC6P1.653190"	"ABCC6P1|653190"	"1"	"1"	"0.241360731658416"	"0.241360731658416"	"1.73733394603466e-28"	"3.14457444232273e-26"
"ABCD2.225"	"ABCD2|225"	"0.618163974777983"	"0.148193198769827"	"0.237040852589803"	"0.222986073848214"	"0.106151275403581"	"1"
