"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"X..10357"	"?|10357"	"0.950939073277966"	"0.809814006479928"	"0.623324433598262"	"0.254253459698889"	"0.107472418385958"	"1"
"X..26823"	"?|26823"	"1"	"1"	"0.590257122342229"	"0.590257122342229"	"1.15850255665035e-34"	"2.09688962753714e-32"
"X..280660"	"?|280660"	"1"	"1"	"0.89863753246111"	"0.89863753246111"	"2.01213822557642e-53"	"3.64197018829332e-51"
"X..390284"	"?|390284"	"0.678024696772902"	"0.572508667968023"	"0.0945662513609859"	"0.836562452465742"	"0.000745861291889223"	"0.135000893831949"
"X..645851"	"?|645851"	"0.675750021870268"	"0.800255767322646"	"0.567937689671542"	"0.285962316469277"	"0.0172763060994566"	"1"
"X..728603"	"?|728603"	"1"	"1"	"1"	"1"	"2.84027564965341e-55"	"5.14089892587267e-53"
"X..728788"	"?|728788"	"1"	"1"	"0.763745625106593"	"0.368138655683628"	"4.64999140438249e-18"	"8.41648444193232e-16"
"A1CF.29974"	"A1CF|29974"	"1"	"1"	"0.425118729216673"	"0.425118729216673"	"2.24933685375979e-41"	"4.07129970530522e-39"
"A2LD1.87769"	"A2LD1|87769"	"0.616939411088335"	"0.442058524942046"	"0.679981738581587"	"0.856443828750123"	"0.00751151279398907"	"1"
"AAAS.8086"	"AAAS|8086"	"0.538819324747709"	"0.344208734789016"	"0.34087024164026"	"0.667054546613633"	"0.0178238051949375"	"1"
"AAMP.14"	"AAMP|14"	"0.310629887457788"	"0.343581156772011"	"0.340933535404924"	"0.510631837557211"	"0.115596910386231"	"1"
"AATF.26574"	"AATF|26574"	"0.166740617508265"	"0.704667665090379"	"0.121571743993952"	"0.911707634236538"	"0.121071746733612"	"1"
"AATK.9625"	"AATK|9625"	"0.657831552721784"	"0.483041795022913"	"0.719983539167916"	"0.298773919523741"	"0.0111153445778163"	"1"
"ABCA11P.79963"	"ABCA11P|79963"	"0.676065476352712"	"0.735439903293891"	"0.654521073320836"	"0.696489088610974"	"0.163303440252206"	"1"
"ABCA4.24"	"ABCA4|24"	"0.721539466834954"	"0.776464050755865"	"0.899103539076547"	"0.742830850115426"	"0.0607822286805826"	"1"
"ABCB10.23456"	"ABCB10|23456"	"0.911030376018517"	"0.320419958469874"	"0.969775158360187"	"0.326804441314506"	"0.0830495385834974"	"1"
"ABCB1.5243"	"ABCB1|5243"	"0.109315690012866"	"0.152013359029441"	"0.120571859160221"	"0.0793797526613625"	"0.0194317436327146"	"1"
"ABCB5.340273"	"ABCB5|340273"	"0.524415988126625"	"0.276116570528627"	"0.12188969612047"	"0.352585186517734"	"0.000158315468448121"	"0.0286550997891099"
"ABCC10.89845"	"ABCC10|89845"	"0.229585431528326"	"0.170659857756803"	"0.632869996625968"	"0.206307844655361"	"0.00669731921567268"	"1"
"ABCC11.85320"	"ABCC11|85320"	"0.403325841035645"	"0.126678682541877"	"0.0348354459096038"	"0.163834207949788"	"0.000269997395684573"	"0.0488695286189078"
"ABCC1.4363"	"ABCC1|4363"	"0.605425188142689"	"0.235763186044911"	"0.717993947432941"	"0.770759634796911"	"0.0323602282005364"	"1"
"ABCC5.10057"	"ABCC5|10057"	"0.0941351699261814"	"0.930933231548673"	"0.587067313181139"	"0.654720269531357"	"0.0245349992217408"	"1"
"ABCC6P1.653190"	"ABCC6P1|653190"	"1"	"1"	"0.814343031932618"	"0.73742538243873"	"4.04338558025137e-17"	"7.31852790025497e-15"
"ABCD2.225"	"ABCD2|225"	"0.186266566378267"	"0.200792502963651"	"0.380809283943387"	"0.295134055840953"	"0.108324172052231"	"1"
"ABCD4.5826"	"ABCD4|5826"	"0.894552830234672"	"0.707484293710544"	"0.62291039177387"	"0.863337684973919"	"0.084946895831189"	"1"
