"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"X..10357"	"?|10357"	"0.783946633314872"	"0.88579009269223"	"0.785472708517118"	"0.28156019526454"	"0.164148500891291"	"1"
"X..26823"	"?|26823"	"1"	"1"	"0.590257122342229"	"0.590257122342229"	"1.15850255665035e-34"	"2.09688962753714e-32"
"X..280660"	"?|280660"	"1"	"1"	"0.89863753246111"	"0.89863753246111"	"2.01213822557642e-53"	"3.64197018829332e-51"
"X..390284"	"?|390284"	"0.422343771170181"	"0.361845915846826"	"0.0732203455950613"	"0.55082984903321"	"0.00127847310309179"	"0.231403631659614"
"X..645851"	"?|645851"	"0.968944935650392"	"0.837662668686422"	"0.968944935650391"	"0.507207550577996"	"0.0697908220939438"	"1"
"X..728603"	"?|728603"	"1"	"1"	"1"	"1"	"2.84027564965341e-55"	"5.14089892587267e-53"
"X..728788"	"?|728788"	"0.743900515878021"	"0.910605655436529"	"0.743900515878021"	"0.811228965893224"	"1.66831978157532e-10"	"3.01965880465133e-08"
"A1CF.29974"	"A1CF|29974"	"1"	"1"	"0.425118729216673"	"0.425118729216673"	"2.24933685375979e-41"	"4.07129970530522e-39"
"A2LD1.87769"	"A2LD1|87769"	"0.884488503674067"	"0.530930418113855"	"0.47035913189859"	"0.367527080083936"	"0.00480716414252421"	"0.870096709796882"
"AAAS.8086"	"AAAS|8086"	"0.52460101531467"	"0.375191976327377"	"0.476083295521491"	"0.496699547289708"	"0.0249223417143449"	"1"
"AAMP.14"	"AAMP|14"	"0.30784071549317"	"0.247010749957436"	"0.13424501705502"	"0.22512645618015"	"0.00712481054086173"	"1"
"AATF.26574"	"AATF|26574"	"0.394543284837486"	"0.631587325319258"	"0.3080296333716"	"0.339509535072393"	"0.125260548208226"	"1"
"AATK.9625"	"AATK|9625"	"0.925163959841679"	"0.437038581109043"	"0.72735242796798"	"0.46540309717697"	"0.0348844477845413"	"1"
"ABCA11P.79963"	"ABCA11P|79963"	"0.944933584074577"	"0.719055240759069"	"0.812870937347141"	"0.723919377725754"	"0.313048860752491"	"1"
"ABCA4.24"	"ABCA4|24"	"0.803220164817594"	"0.965302130172967"	"0.854672854680696"	"0.73183729532085"	"0.0984455129184735"	"1"
"ABCB10.23456"	"ABCB10|23456"	"0.860962883782521"	"0.464929843824013"	"0.835551096143169"	"0.550415415696657"	"0.0721425458589527"	"1"
"ABCB1.5243"	"ABCB1|5243"	"0.180789474345351"	"0.253801860639146"	"0.257922489701055"	"0.394844071011772"	"0.0419060352293626"	"1"
"ABCB5.340273"	"ABCB5|340273"	"0.0894565632074974"	"0.175188120288205"	"0.0894565632074974"	"0.485863694523389"	"0.0110574054733623"	"1"
"ABCC10.89845"	"ABCC10|89845"	"0.115923097197474"	"0.165369328072331"	"0.50244676805703"	"0.149818031193939"	"0.0347572033730547"	"1"
"ABCC11.85320"	"ABCC11|85320"	"0.261605523352712"	"0.079536618187046"	"0.102550889774592"	"0.399464521036637"	"0.00166081773372648"	"0.300608009804493"
"ABCC1.4363"	"ABCC1|4363"	"0.978964031790536"	"0.304849190730587"	"0.182877375691257"	"0.668842013562356"	"0.0167236313063138"	"1"
"ABCC5.10057"	"ABCC5|10057"	"0.791812385115306"	"0.957588216864381"	"0.276116219695134"	"0.403272696167683"	"0.0417339052580765"	"1"
"ABCC6P1.653190"	"ABCC6P1|653190"	"0.0746273814727555"	"0.686525321177305"	"0.0746273814727555"	"0.357630755108329"	"8.06568356716062e-12"	"1.45988872565607e-09"
"ABCD2.225"	"ABCD2|225"	"0.377998986813862"	"0.235741305334044"	"0.141989984920719"	"0.254631935659221"	"0.0173240555477412"	"1"
"ABCD4.5826"	"ABCD4|5826"	"0.984323026515031"	"0.516164507044687"	"0.90563306193512"	"0.539773321332855"	"0.0819148139253268"	"1"
"ABCF1.23"	"ABCF1|23"	"0.636930378832289"	"0.91430218135518"	"0.636930378832289"	"0.891086874478198"	"0.0710328286549322"	"1"
"ABCF3.55324"	"ABCF3|55324"	"0.120758205876438"	"0.722013303044041"	"0.133987617245912"	"0.887601161877757"	"0.0685096031514456"	"1"
"ABHD14A.25864"	"ABHD14A|25864"	"0.426145560625781"	"0.373564468653022"	"0.95159797383506"	"0.798719813790189"	"0.0143088557169951"	"1"
"ABHD15.116236"	"ABHD15|116236"	"0.213825973993012"	"0.560583277551976"	"0.287836468359901"	"0.983952816128059"	"0.131703385557861"	"1"
"ABHD4.63874"	"ABHD4|63874"	"0.250980355531177"	"0.498103976925864"	"0.625418138477082"	"0.141380875678752"	"0.058936400613717"	"1"
"ABI3BP.25890"	"ABI3BP|25890"	"0.272655109511447"	"0.396087751826531"	"0.0365796319053815"	"0.30294288062273"	"0.00473051856973632"	"0.856223861122274"
"ABI3.51225"	"ABI3|51225"	"0.0554970347229936"	"0.011087429297871"	"0.0314364695743595"	"0.241440882463916"	"0.0108502399513597"	"1"
"ABRA.137735"	"ABRA|137735"	"0.452243373904107"	"0.287260566144033"	"0.100656440610838"	"0.576468698715891"	"0.0271083482356129"	"1"
"ACAA2.10449"	"ACAA2|10449"	"0.292862007905236"	"0.429837023842806"	"0.079199435076898"	"0.0256790523735878"	"0.0173937980202939"	"1"
"ACACA.31"	"ACACA|31"	"0.736983773660557"	"0.207702658431176"	"0.258035133924551"	"0.0490049306186459"	"0.0132850294774884"	"1"
"ACADSB.36"	"ACADSB|36"	"0.799115920992208"	"0.678765122497555"	"0.61886149133478"	"0.981952764660799"	"0.0144446624744961"	"1"
"ACAP2.23527"	"ACAP2|23527"	"0.0489573433599322"	"0.0153205333997551"	"0.0170371287065077"	"0.0179914438631252"	"0.00544670816995262"	"0.985854178761424"
"ACAT2.39"	"ACAT2|39"	"0.200039598021914"	"0.32267967363717"	"0.086354953345731"	"0.634983836459743"	"0.0260159183472435"	"1"
"ACBD5.91452"	"ACBD5|91452"	"0.913459342001558"	"0.750333964950237"	"0.66949094174006"	"0.742608184899019"	"0.0332463752515908"	"1"
"ACBD7.414149"	"ACBD7|414149"	"0.282740961133405"	"0.583396183668923"	"0.489687909586933"	"0.415506733184596"	"0.0188822441993713"	"1"
"ACCN1.40"	"ACCN1|40"	"0.360647893680547"	"0.276632778220707"	"0.0727478000970935"	"0.394050638922252"	"0.0252484485178368"	"1"
"ACCS.84680"	"ACCS|84680"	"0.0412381668176383"	"0.36805723133268"	"0.174671958104539"	"0.038214707694672"	"0.00606219446769817"	"1"
"ACER1.125981"	"ACER1|125981"	"0.882821176377683"	"0.40771091551736"	"0.462512984089491"	"0.190000837330569"	"0.00770302872144105"	"1"
"ACER3.55331"	"ACER3|55331"	"0.414238600105019"	"0.539906839598785"	"0.864771003891843"	"0.765616517587253"	"0.0389225693619457"	"1"
"ACHE.43"	"ACHE|43"	"0.773340132923893"	"0.345436744124322"	"0.544027634890907"	"0.171510344085518"	"0.0620038283018276"	"1"
"ACIN1.22985"	"ACIN1|22985"	"0.228429616532124"	"0.763690881675174"	"0.74324858171352"	"0.942829892377498"	"0.116099634364725"	"1"
"ACLY.47"	"ACLY|47"	"0.942015913980406"	"0.737107823677113"	"0.947816744104839"	"0.851091061443595"	"0.056495448559715"	"1"
"ACOT12.134526"	"ACOT12|134526"	"0.51425170607096"	"0.363196398500161"	"0.0801648642536195"	"0.105499244954437"	"6.76951929994942e-15"	"1.22528299329085e-12"
"ACOT6.641372"	"ACOT6|641372"	"0.624400945901835"	"0.550734148306492"	"0.842647516198288"	"0.822189649016105"	"3.13969799694466e-10"	"5.68285337446984e-08"
"ACOT7.11332"	"ACOT7|11332"	"0.747864816371042"	"0.722549239472654"	"0.602184813235836"	"0.394357347822481"	"0.028716690979351"	"1"
"ACOX1.51"	"ACOX1|51"	"0.819911524889429"	"0.707909069198973"	"0.765120813838731"	"0.683354450550257"	"0.127659046570913"	"1"
"ACSL6.23305"	"ACSL6|23305"	"0.104515931899337"	"0.17567633905409"	"0.290332784594353"	"0.273661269968088"	"0.0845874699691215"	"1"
"ACSS3.79611"	"ACSS3|79611"	"0.204308785035208"	"0.0385303385513605"	"0.0981330616214995"	"0.0327952741296508"	"0.011245193943421"	"1"
"ACTA2.59"	"ACTA2|59"	"0.251615531872433"	"0.23191030285738"	"0.665586943788611"	"0.322836772716296"	"0.0683568131418719"	"1"
"ACTC1.70"	"ACTC1|70"	"0.143700855261558"	"0.0569241220148146"	"0.0141540260794798"	"0.0328093229280494"	"0.0002779391093556"	"0.0503069787933635"
"ACTL7A.10881"	"ACTL7A|10881"	"1"	"1"	"0.0915959197614139"	"0.0915959197614139"	"2.20030441306647e-48"	"3.98255098765031e-46"
"ACTN2.88"	"ACTN2|88"	"0.238745071781489"	"0.583486779373449"	"0.557502838248304"	"0.245406647019517"	"0.0393130120145999"	"1"
"ACTR3.10096"	"ACTR3|10096"	"0.902903756587258"	"0.636366183529536"	"0.822352348992073"	"0.82560058781128"	"0.0742906938386043"	"1"
"ACVR2B.93"	"ACVR2B|93"	"0.326563249974675"	"0.322993831392959"	"0.461209852446461"	"0.100053794103143"	"0.0353312786632126"	"1"
"ACVRL1.94"	"ACVRL1|94"	"0.0208062571761655"	"0.0424152452696003"	"0.0345041376470587"	"0.00736973707883653"	"0.00404492000253304"	"0.732130520458481"
"ACY3.91703"	"ACY3|91703"	"0.954252649624823"	"0.675148082581047"	"0.110363568975404"	"0.860683462091519"	"0.0553765507420496"	"1"
"ADAD2.161931"	"ADAD2|161931"	"0.905254692982306"	"0.763078599531785"	"0.935455324049661"	"0.47663759486994"	"0.115031034906343"	"1"
"ADAM19.8728"	"ADAM19|8728"	"0.18179129451084"	"0.157724284161613"	"0.0468525994063314"	"0.192528629294913"	"0.01255835874862"	"1"
"ADAM20.8748"	"ADAM20|8748"	"0.748331056844079"	"0.721239676718434"	"0.748331056844079"	"0.955120830368006"	"0.00548170723039631"	"0.992189008701731"
"ADAM7.8756"	"ADAM7|8756"	"1"	"1"	"0.0583340723460988"	"0.0583340723460988"	"7.42490726794431e-47"	"1.34390821549792e-44"
"ADAM9.8754"	"ADAM9|8754"	"0.527775650392919"	"0.203062849364996"	"0.541379997954996"	"0.25463341598617"	"0.00624267386357093"	"1"
"ADAMTS10.81794"	"ADAMTS10|81794"	"0.962742263638224"	"0.238621307235346"	"0.0808334861836355"	"0.403709746464054"	"0.0383168359001697"	"1"
"ADAMTS14.140766"	"ADAMTS14|140766"	"0.0496600609465837"	"0.0439119425040414"	"0.15587144888617"	"0.0600458721555749"	"0.0088387088797461"	"1"
"ADAMTS17.170691"	"ADAMTS17|170691"	"0.509735094747571"	"0.98140386589319"	"0.655876558273077"	"0.365439296650347"	"0.142126585730368"	"1"
"ADAMTS18.170692"	"ADAMTS18|170692"	"0.962198924274836"	"0.721705830362542"	"0.316543284620061"	"0.798923362290503"	"0.02515800870057"	"1"
"ADAMTS20.80070"	"ADAMTS20|80070"	"0.817151298979957"	"0.911701235025588"	"0.774412632926499"	"0.734015954228897"	"0.0548624907552278"	"1"
"ADAMTS4.9507"	"ADAMTS4|9507"	"0.409928877687317"	"0.567767493882483"	"0.641731956278141"	"0.514504571541275"	"0.217512236395033"	"1"
"ADAMTS7.11173"	"ADAMTS7|11173"	"0.622913189008547"	"0.721594672656832"	"0.641704900078402"	"0.555716051122678"	"0.0982049810956853"	"1"
"ADAMTSL2.9719"	"ADAMTSL2|9719"	"0.510293154603117"	"0.43010855863331"	"0.0726958368969193"	"0.377067711657695"	"0.053064701884153"	"1"
"ADAMTSL5.339366"	"ADAMTSL5|339366"	"0.778214108745504"	"0.359183017902976"	"0.590157962878493"	"0.550585391964837"	"0.012983892478765"	"1"
"ADAP2.55803"	"ADAP2|55803"	"0.00757299219645749"	"0.344462990005254"	"0.786608123609302"	"0.798874484807419"	"0.00204303653862177"	"0.369789613490541"
"ADAT3.113179"	"ADAT3|113179"	"0.433693504907205"	"0.509831334478793"	"0.136770822025808"	"0.109398572766931"	"0.0215038749615071"	"1"
"ADCK5.203054"	"ADCK5|203054"	"0.337296010837208"	"0.907817078114635"	"0.475889251064776"	"0.499873373602646"	"0.0567496649035142"	"1"
"ADCY1.107"	"ADCY1|107"	"1.70056259651361e-05"	"1.56695548081398e-06"	"3.3271744321423e-07"	"1.34884194767342e-09"	"4.32121093171139e-10"	"7.82139178639761e-08"
"ADCY2.108"	"ADCY2|108"	"0.0206411660875149"	"0.00685552570268233"	"0.00423458191019133"	"0.0129086726202765"	"3.66144598400887e-05"	"0.00662721723105605"
"ADCY5.111"	"ADCY5|111"	"0.599072775074246"	"0.443522941766269"	"0.86069470359782"	"0.667349284230493"	"0.0745653747812364"	"1"
